"圖鑑編號","亞種","繁中名稱","英文名稱","內部名稱","配種值","配種優先值"
"32","否","紫霞鹿","Eikthyrdeer","Deer","2710","271000"
"32","是","祇岳鹿","Eikthyrdeer Terra","Deer_Ground","2580","258000"
"33","否","獵狼","Direhowl","Garm","2680","268000"
"34","否","灌木羊","Caprity","BerryGoat","2610","261000"
"34","是","鬱木羊","Caprity Noct","BerryGoat_Dark","1940","194000"
"35","否","毛撣兒","Swee","MopBaby","2840","284000"
"36","否","毛老爹","Sweepa","MopKing","2150","215000"
"37","否","盔盔仔","Turtacle","TentacleTurtle","2410","241000"
"37","是","金盔仔","Turtacle Terra","TentacleTurtle_Ground","1330","577"
"38","否","吊縛靈","Hangyu","WindChimes","2780","278000"
"38","是","冰縛靈","Hangyu Cryst","WindChimes_Ice","2510","251000"
"39","否","棉花糖","Woolipop","SweetsSheep","2820","282000"
"39","是","可可棉花糖","Woolipop Terra","SweetsSheep_Ground","2030","203000"
"40","否","波霸牛","Mozzarina","CowPal","2800","280000"
"41","否","碧海龍","Azurobe","BlueDragon","1830","183000"
"41","是","碧月龍","Azurobe Cryst","BlueDragon_Ice","1220","578"
"42","否","伏特喵","Sparkit","ElecCat","3010","301000"
"43","否","水靈兒","Kelpsea","Kelpie","2810","281000"
"43","是","火靈兒","Kelpsea Ignis","Kelpie_Fire","2470","247000"
"44","否","姬小兔","Ribbuny","PinkRabbit","2860","286000"
"44","是","艾小兔","Ribbuny Botan","PinkRabbit_Grass","2460","246000"
"45","否","海月仙","Jelliette","JellyfishFairy","2650","265000"
"46","否","海月靈","Jellroy","JellyfishGhost","2590","259000"
"47","否","莉歐·莉涅","Amione","ClioneTwins","2520","252000"
"48","否","墨沫姬","Gloopie","OctopusGirl","2530","253000"
"48","是","夢沫姬","Gloopie Primo","OctopusGirl_Neutral","1630","163000"
"49","否","天擒鳥","Galeclaw","Eagle","2570","257000"
"50","否","念影喵","Wispaw","GhostBlackCat","2250","225000"
"51","否","疾風隼","Nitewing","HawkBird","2560","256000"
"52","否","貓蝠怪","Tombat","CatBat","2340","234000"
"53","否","炸蛋鳥","Tocotoco","ColorfulBird","2730","273000"
"54","否","雷角馬","Univolt","Kirin","2270","227000"
"54","是","凌角馬","Univolt Cryst","Kirin_Ice","540","54000"
"55","否","鯊小子","Gobfin","SharkKid","2550","255000"
"55","是","紅小鯊","Gobfin Ignis","SharkKid_Fire","2430","243000"
"56","否","月鐮魔","Loupmoon","Werewolf","2110","211000"
"56","是","霜鐮魔","Loupmoon Cryst","Werewolf_Ice","1290","129000"
"57","否","黑鴉隱士","Cawgnito","DarkCrow","2370","237000"
"58","否","熾焰牛","Arsox","FlameBuffalo","2320","232000"
"59","否","雪綿啾","Muffly","FluffyBird","2480","248000"
"60","否","荊棘魔仙","Bristla","LittleBriarRose","2690","269000"
"61","否","幻悅蝶","Cinnamoth","CuteButterfly","2620","262000"
"62","否","電汪汪","Puffolt","ElecPomeranian","2360","236000"
"63","否","精靈龍","Elphidran","FairyDragon","2280","228000"
"63","是","水靈龍","Elphidran Aqua","FairyDragon_Water","1640","164000"
"64","否","烽歌龍","Vanwyrm","BirdDragon","1650","165000"
"64","是","霜歌龍","Vanwyrm Cryst","BirdDragon_Ice","1430","143000"
"65","否","夜幕魔蝠","Felbat","CatVampire","1570","157000"
"66","否","薇莉塔","Vaelet","VioletFairy","1480","148000"
"67","否","騎士蜂","Beegarde","SoldierBee","2350","235000"
"68","否","女皇蜂","Elizabee","QueenBee","1790","179000"
"69","否","博愛蜥","Lovander","PinkLizard","2090","209000"
"70","否","笑魘猫","Grintale","NaughtyCat","2120","212000"
"71","否","桃蛛娘","Tarantriss","PurpleSpider","1730","173000"
"72","否","香草豹冰","Polapup","IceSeal","1660","166000"
"72","是","巧克力豹冰","Polapup Terra","IceSeal_Ground","1100","110000"
"73","否","龐克蜥","Leezpunk","LizardMan","2670","267000"
"73","是","熱血蜥","Leezpunk Ignis","LizardMan_Fire","2640","264000"
"74","否","鐵拳猿","Gorirat","Gorilla","2140","214000"
"74","是","石掌猿","Gorirat Terra","Gorilla_Ground","1880","188000"
"75","否","滑水蛇","Surfent","Serpent","2440","244000"
"75","是","流沙蛇","Surfent Terra","Serpent_Ground","1840","184000"
"76","否","羽箭射手","Robinquill","RobinHood","2260","226000"
"76","是","山岳射手","Robinquill Terra","RobinHood_Ground","2050","205000"
"77","否","波娜兔","Flopie","FlowerRabbit","2660","266000"
"78","否","焰巫狐","Wixen","FoxMage","2080","208000"
"78","是","幽巫狐","Wixen Noct","FoxMage_Dark","1490","149000"
"79","否","闇巫貓","Katress","CatMage","2040","204000"
"79","是","熾巫貓","Katress Ignis","CatMage_Fire","1800","180000"
"80","否","雷冥鳥","Helzephyr","HadesBird","1130","113000"
"80","是","雷鳴鳥","Helzephyr Lux","HadesBird_Electric","960","96000"
"81","否","密林陶洛斯","Elgrove","GrassMinotaur","2020","202000"
"81","是","冰峰陶洛斯","Elgrove Cryst","GrassMinotaur_Ice","440","44000"
"82","否","秘斯媞雅","Lunaris","Mutant","2010","201000"
"83","否","雲海鹿","Fenglope","FengyunDeeper","1960","196000"
"83","是","雷隱鹿","Fenglope Lux","FengyunDeeper_Electric","900","90000"
"84","否","花冠龍","Dinossom","FlowerDinosaur","2100","210000"
"84","是","雷冠龍","Dinossom Lux","FlowerDinosaur_Electric","1890","189000"
"85","否","浪刃武士","Bushi","Ronin","1560","156000"
"85","是","鬼刃武士","Bushi Noct","Ronin_Dark","840","84000"
"86","否","肚肚鱷","Munchill","IceCrocodile","2130","213000"
"87","否","森猛獁","Mammorest","GrassMammoth","1340","134000"
"87","是","雪猛獁","Mammorest Cryst","GrassMammoth_Ice","1070","107000"
"88","否","布偶鯊","Finsider","StuffedShark","2450","245000"
"88","是","粉粉布偶鯊","Finsider Ignis","StuffedShark_Fire","2240","581"
"89","否","花麗娜","Petallia","FlowerDoll","1720","172000"
"89","是","櫻麗娜","Petallia Ignis","FlowerDoll_Fire","820","82000"
"90","否","莉芳","Leafan","PandaGirl","1410","141000"
"91","否","炎魔羊","Incineram","Baphomet","1470","147000"
"91","是","闇魔羊","Incineram Noct","Baphomet_Dark","1310","131000"
"92","否","雷鳴童子","Dazzi","RaijinDaughter","2400","240000"
"92","是","天陰童子","Dazzi Noct","RaijinDaughter_Water","1910","191000"
"93","否","火麒麟","Pyrin","FireKirin","1980","198000"
"93","是","邪麒麟","Pyrin Noct","FireKirin_Dark","1870","187000"
"94","否","佩克龍","Relaxaurus","LazyDragon","1090","109000"
"94","是","派克龍","Relaxaurus Lux","LazyDragon_Electric","770","77000"
"95","否","吹雪狐","Foxcicle","IceFox","1970","197000"
"96","否","迅雷鳥","Beakon","ThunderBird","1690","169000"
"96","是","疾霜鳥","Beakon Cryst","ThunderBird_Ice","580","58000"
"97","否","冥燈魚","Ghangler","GhostAnglerfish","880","88000"
"97","是","炙燈魚","Ghangler Ignis","GhostAnglerfish_Fire","720","72000"
"98","否","霹靂犬","Rayhound","ThunderDog","1920","192000"
"98","是","凜光犬","Rayhound Cryst","ThunderDog_Ice","1600","160000"
"99","否","冥鎧蠍","Menasting","DarkScorpion","1120","112000"
"99","是","金鎧蠍","Menasting Terra","DarkScorpion_Ground","640","64000"
"100","否","球抱苞","Needoll","CactusDoll","2420","242000"
"100","是","妖抱苞","Needoll Noct","CactusDoll_Dark","1580","158000"
"101","否","嚴冬鹿","Reindrix","IceDeer","1930","193000"
"102","否","葉胖達","Mossanda","GrassPanda","2060","206000"
"102","是","雷胖達","Mossanda Lux","GrassPanda_Electric","1440","144000"
"103","否","疾旋鼬","Chillet","WeaselDragon","2330","233000"
"103","是","桃旋鼬","Chillet Ignis","WeaselDragon_Fire","1950","195000"
"104","否","燧火鳥","Ragnahawk","RedArmorBird","1050","105000"
"105","否","流焰龍","Moldron","VolcanoDragon","750","75000"
"105","是","川霜龍","Moldron Cryst","VolcanoDragon_Ice","380","38000"
"106","否","咕咕桑葩","Palumba","TropicalOstrich","1240","124000"
"107","否","碎岩龜","Digtoise","DrillGame","1550","155000"
"108","否","連理龍","Broncherry","SakuraSaurus","1380","138000"
"108","是","海誓龍","Broncherry Aqua","SakuraSaurus_Water","1080","108000"
"109","否","趴趴鯰","Dumud","LazyCatfish","2290","229000"
"109","是","梆梆鯰","Dumud Gild","LazyCatfish_Gold","1620","576"
"110","否","梁葉龍","Braloha","Plesiosaur","1030","103000"
"111","否","蒼焰狼","Kitsun","AmaterasuWolf","1670","167000"
"111","是","幽焰狼","Kitsun Noct","AmaterasuWolf_Dark","800","80000"
"112","否","獄焰王","Blazehowl","Manticore","1360","136000"
"112","是","獄閻王","Blazehowl Noct","Manticore_Dark","1270","127000"
"113","否","鎧格力斯","Warsect","HerculesBeetle","1280","128000"
"113","是","格魯力斯","Warsect Terra","HerculesBeetle_Ground","630","63000"
"114","否","白真雪雀","Frostplume","SnowPeafowl","860","86000"
"115","否","紫狐嬌","Majex","DarkFlameFox","1010","101000"
"116","否","綢笠蛾","Sibelyx","WhiteMoth","1810","181000"
"116","是","絹笠蛾","Sibelyx Primo","WhiteMoth_Neutral","650","65000"
"117","否","噬魂獸","Maraith","GhostBeast","1710","171000"
"118","否","菇咚","Shroomer","MushroomDragon","1520","152000"
"118","是","菇波","Shroomer Noct","MushroomDragon_Dark","1450","145000"
"119","否","冰姬靈","Icelyn","IceWitch","1260","126000"
"120","否","縛乃伊","Gildra","MummyPal","1170","117000"
"121","否","覆海龍","Jormuntide","Umihebi","590","59000"
"121","是","騰炎龍","Jormuntide Ignis","Umihebi_Fire","170","17000"
"122","否","朱雀","Suzaku","Suzaku","1200","120000"
"122","是","清雀","Suzaku Aqua","Suzaku_Water","740","74000"
"123","否","戰冠雀","Dazemu","FeatherOstrich","2210","221000"
"124","否","天羽龍","Quivern","SkyDragon","1210","121000"
"124","是","翠羽龍","Quivern Botan","SkyDragon_Grass","1300","130000"
"125","否","春彩娘","Lullu","LeafPrincess","1990","199000"
"126","否","球犰","Kikit","SmallArmadillo","2310","231000"
"127","否","八雲犬","Yakumo","GuardianDog","2230","223000"
"128","否","鞘刀魚","Skutlass","SwordCutlassfish","1420","142000"
"128","是","煉刃魚","Skutlass Ignis","SwordCutlassfish_Fire","1590","159000"
"129","否","熔岩獸","Reptyro","VolcanicMonster","1060","106000"
"129","是","寒霜獸","Reptyro Cryst","VolcanicMonster_Ice","600","60000"
"130","否","夜冥駒","Starryon","NightBlueHorse","1150","115000"
"130","是","日耀駒","Starryon Primo","NightBlueHorse_Neutral","430","43000"
"131","否","磐峰獸","Pierdon","RockBeast","1110","111000"
"131","是","寒峰獸","Pierdon Cryst","RockBeast_Ice","460","46000"
"132","否","冰棘獸","Cryolinx","WhiteTiger","1040","104000"
"132","是","金棘獸","Cryolinx Terra","WhiteTiger_Ground","470","47000"
"133","否","雪墩墩","Snugloo","SmallYeti","2390","239000"
"134","否","白絨雪怪","Wumpo","Yeti","830","83000"
"134","是","綠苔絨怪","Wumpo Botan","Yeti_Grass","610","61000"
"135","否","恐炬靈","Sootseer","CandleGhost","980","98000"
"136","否","顎莉絲","Carnibora","VenusFlytrap","1700","170000"
"137","否","焰煌","Blazamut","KingBahamut","410","41000"
"137","是","歿殃","Blazamut Ryu","KingBahamut_Dragon","100","10000"
"138","否","雙心岩傀","Dualith","GrassGolem","510","51000"
"138","是","咒心岩傀","Dualith Noct","GrassGolem_Dark","250","25000"
"139","否","阿努比斯","Anubis","Anubis","480","48000"
"140","否","塞赫麥特","Sekhmet","Sekhmet","870","87000"
"141","否","蠱刺妖","Prixter","ScorpionMan","1510","151000"
"141","是","電針妖","Prixter Lux","ScorpionMan_Electric","850","85000"
"142","否","重岩龜","Tetroise","CubeTurtle","790","79000"
"142","是","淨岩龜","Tetroise Primo","CubeTurtle_Neutral","200","20000"
"143","否","妮瞅莎","Nyafia","BadCatgirl","1250","125000"
"144","否","旺財","Mimog","MimicDog","1740","174000"
"145","否","傑諾貝達","Xenovader","DarkAlien","1820","182000"
"146","否","傑諾路達","Xenogard","WhiteAlienDragon","990","99000"
"147","否","梅莉姆","Prunelia","BlueberryFairy","1390","139000"
"148","否","魅愛莉","Nitemary","GhostRabbit","1230","123000"
"148","是","碧艾莉","Nitemary Botan","GhostRabbit_Grass","1320","132000"
"149","否","墨丸","Smokie","BlackPuppy","1760","176000"
"149","是","冬丸","Smokie Cryst","BlackPuppy_Ice","1610","161000"
"150","否","面懼","Omascul","MysteryMask","1140","114000"
"151","否","涼晶鯨","Whalaska","IceNarwhal","710","71000"
"151","是","桃晶鯨","Whalaska Ignis","IceNarwhal_Fire","370","37000"
"152","否","踏春兔","Verdash","GrassRabbitMan","1160","116000"
"153","否","幽戀娜","Splatterina","GrimGirl","780","78000"
"154","否","金馳獸","Gildane","GoldenHorse","730","73000"
"155","否","汪宗師","Dogen","SifuDog","1460","146000"
"156","否","力士獒","Bulldosu","SumoDog","1190","119000"
"157","否","淨世鹿","Celesdir","WhiteDeer","570","57000"
"157","是","織夜鹿","Celesdir Noct","WhiteDeer_Dark","270","27000"
"158","否","魔淵龍","Astegon","BlackMetalDragon","490","49000"
"159","否","泰鋒","Knocklem","WingGolem","260","26000"
"159","是","丹烽","Knocklem Ignis","WingGolem_Fire","210","21000"
"160","否","艾基魯迦","Silvegis","WhiteShieldDragon","560","56000"
"161","否","馭雷馬","Azurmane","BlueThunderHorse","420","42000"
"162","否","喵璐璐","Valentail","LongCat","1900","190000"
"163","否","電渦蝸","Snock","ElecSnail","1780","178000"
"163","是","金渦蝸","Snock Lux","ElecSnail_Ground","1500","150000"
"164","否","蒲蒲飛芽","Souffline","DandelionGirl","2000","200000"
"165","否","詹兔曼","Lapiron","BrownRabbit","1680","168000"
"166","否","兜兜靈","Hoodle","HoodGhost","1770","177000"
"167","否","電懶懶","Slowatt","ElecLizard","1750","175000"
"168","否","嚇絲妮","Bakemi","OniGhostGirl","1540","154000"
"169","否","曼波王","Solmora","KingSunfish","1370","137000"
"169","是","曼波皇","Solmora Lux","KingSunfish_Thunder","1000","100000"
"170","否","兔繡袖","Lapure","SleeveRabbit","810","81000"
"171","否","靈曦龍","Eidrolon","GhostDragon","300","30000"
"171","是","獄熙龍","Eidrolon Ignis","GhostDragon_Fire","140","14000"
"172","否","雷雲鷲","Dynamoff","ThunderFluffyBird","1400","140000"
"173","否","大紅呱","Tropicaw","RedFlowerBird","1350","135000"
"174","否","昭炎狐","Flaracle","FoxExorcist","390","39000"
"175","否","沁蓮龍","Ophydia","LotusDragon","230","23000"
"176","否","拉比耶爾","Dupin","ClownRabbit","520","52000"
"177","否","盜影鴉","Roujay","ThiefBird","530","53000"
"178","否","梅杜娜","Venusa","SnakeGirl","970","97000"
"179","否","紅菇娘","Mycora","MushroomLady","760","76000"
"180","否","妖燄燈","Loomen","LanternButler","890","89000"
"181","否","綴夜星","Wistella","MoonChild","1180","118000"
"182","否","墨羅娜","Solenne","MonochromeQueen","280","28000"
"183","否","燎火舞伶","Renjishi","KabukiMan","290","29000"
"184","否","磐甲龍","Aegidron","DomeArmorDragon","30","3000"
"185","否","暴電熊","Grizzbolt","ElecPanda","1020","102000"
"186","否","百合女王","Lyleen","LilyQueen","240","24000"
"186","是","黑月女王","Lyleen Noct","LilyQueen_Dark","220","22000"
"187","否","波魯傑克斯","Orserk","ThunderDragonMan","120","12000"
"188","否","荷魯斯","Faleris","Horus","500","50000"
"188","是","伊西斯","Faleris Aqua","Horus_Water","450","45000"
"189","否","異構格里芬","Shadowbeak","BlackGriffon","550","55000"
"190","否","輝月伊","Selyne","MoonQueen","360","36000"
"191","否","霜牙王","Bastigor","SnowTigerBeastman","50","5000"
"192","否","霄龍","Shaolong","BlueSkyDragon","40","4000"
"193","否","暮塵蛾","Silvance","Mothman","80","8000"
"194","否","夜蔓爵","Dandilord","FlowerPrince","60","6000"
"195","否","貝菈諾娃","Bellanoir","NightLady","620","62000"
"195","是","貝菈露潔","Bellanoir Libero","NightLady_Dark","130","13000"
"196","否","傑諾多蘭","Xenolord","DarkMechaDragon","400","40000"
"197","否","默世鹿","Hartalis","LegendDeer","90","9000"
"198","否","聖光騎士","Paladius","SaintCentaur","180","18000"
"199","否","混沌騎士","Necromus","BlackCentaur","190","19000"
"200","否","喚冬獸","Frostallion","IceHorse","150","15000"
"200","是","喚夜獸","Frostallion Noct","IceHorse_Dark","110","11000"
"201","否","海皇鯨","Neptilius","PoseidonOrca","160","16000"
"202","否","空渦龍","Jetragon","JetDragon","70","7000"
"203","否","奧滄鯨","Panthalus","KingWhale","20","2000"
"10000","否","克蘇魯之眼","Eye of Cthulhu","YakushimaBoss001","3100","310000"
"10001","否","惡魔眼","Demon Eye","YakushimaBoss001_Small","3100","310000"
"10002","否","綠史萊姆","Green Slime","YakushimaMonster001","3100","310000"
"10003","否","藍史萊姆","Blue Slime","YakushimaMonster001_Blue","3100","310000"
"10004","否","夜明史萊姆","Illuminant Slime","YakushimaMonster001_Pink","3100","310000"
"10005","否","紫史萊姆","Purple Slime","YakushimaMonster001_Purple","3100","310000"
"10006","否","彩虹史萊姆","Rainbow Slime","YakushimaMonster001_Rainbow","3100","310000"
"10007","否","紅史萊姆","Red Slime","YakushimaMonster001_Red","3100","310000"
"10008","否","附魔劍","Enchanted Sword","YakushimaMonster002","3100","310000"
"10009","否","洞穴蝙蝠","Cave Bat","YakushimaMonster003","3100","310000"
"10010","否","夜明蝙蝠","Illuminant Bat","YakushimaMonster003_Purple","3100","310000"
