"親代1圖鑑編號","親代1繁中","親代1英文","親代1內部名稱","親代1性別","親代2圖鑑編號","親代2繁中","親代2英文","親代2內部名稱","親代2性別","子代圖鑑編號","子代繁中","子代英文","子代內部名稱","性別限定"
"8","米露菲","Cremis","WoolFox","任一","100","妖抱苞","Needoll Noct","CactusDoll_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10000","克蘇魯之眼","Eye of Cthulhu","YakushimaBoss001","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10000","克蘇魯之眼","Eye of Cthulhu","YakushimaBoss001","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10000","克蘇魯之眼","Eye of Cthulhu","YakushimaBoss001","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"21","君王美露帕","Kingpaca","KingAlpaca","任一","88","粉粉布偶鯊","Finsider Ignis","StuffedShark_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"95","吹雪狐","Foxcicle","IceFox","任一","17","閃丸丸","Pengullet Lux","Penguin_Electric","任一","127","八雲犬","Yakumo","GuardianDog","否"
"95","吹雪狐","Foxcicle","IceFox","任一","29","雪絨狐","Foxparks Cryst","Kitsunebi_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"95","吹雪狐","Foxcicle","IceFox","任一","59","雪綿啾","Muffly","FluffyBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"155","汪宗師","Dogen","SifuDog","任一","29","火絨狐","Foxparks","Kitsunebi","任一","127","八雲犬","Yakumo","GuardianDog","否"
"155","汪宗師","Dogen","SifuDog","任一","42","伏特喵","Sparkit","ElecCat","任一","127","八雲犬","Yakumo","GuardianDog","否"
"155","汪宗師","Dogen","SifuDog","任一","16","瞅什魔","Depresso","NegativeKoala","任一","127","八雲犬","Yakumo","GuardianDog","否"
"86","肚肚鱷","Munchill","IceCrocodile","任一","58","熾焰牛","Arsox","FlameBuffalo","任一","127","八雲犬","Yakumo","GuardianDog","否"
"86","肚肚鱷","Munchill","IceCrocodile","任一","52","貓蝠怪","Tombat","CatBat","任一","127","八雲犬","Yakumo","GuardianDog","否"
"96","迅雷鳥","Beakon","ThunderBird","任一","30","勾魂魷","Killamari","NegativeOctopus","任一","127","八雲犬","Yakumo","GuardianDog","否"
"96","迅雷鳥","Beakon","ThunderBird","任一","38","吊縛靈","Hangyu","WindChimes","任一","127","八雲犬","Yakumo","GuardianDog","否"
"96","迅雷鳥","Beakon","ThunderBird","任一","2","搗蛋貓","Cattiva","PinkCat","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10004","夜明史萊姆","Illuminant Slime","YakushimaMonster001_Pink","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10004","夜明史萊姆","Illuminant Slime","YakushimaMonster001_Pink","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10004","夜明史萊姆","Illuminant Slime","YakushimaMonster001_Pink","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10010","夜明蝙蝠","Illuminant Bat","YakushimaMonster003_Purple","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10010","夜明蝙蝠","Illuminant Bat","YakushimaMonster003_Purple","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10010","夜明蝙蝠","Illuminant Bat","YakushimaMonster003_Purple","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"65","夜幕魔蝠","Felbat","CatVampire","任一","8","米露菲","Cremis","WoolFox","任一","127","八雲犬","Yakumo","GuardianDog","否"
"65","夜幕魔蝠","Felbat","CatVampire","任一","28","草莽豬","Rushoar","Boar","任一","127","八雲犬","Yakumo","GuardianDog","否"
"65","夜幕魔蝠","Felbat","CatVampire","任一","23","新葉猿","Tanzee","Monkey","任一","127","八雲犬","Yakumo","GuardianDog","否"
"13","宗銘丸","Pupperai","SamuraiDog","任一","21","冰帝美露帕","Kingpaca Cryst","KingAlpaca_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"14","幸葉茸","Clovee","CloverFairy","任一","163","金渦蝸","Snock Lux","ElecSnail_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"14","幸葉茸","Clovee","CloverFairy","任一","78","幽巫狐","Wixen Noct","FoxMage_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"50","念影喵","Wispaw","GhostBlackCat","任一","21","君王美露帕","Kingpaca","KingAlpaca","任一","127","八雲犬","Yakumo","GuardianDog","否"
"144","旺財","Mimog","MimicDog","任一","53","炸蛋鳥","Tocotoco","ColorfulBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"144","旺財","Mimog","MimicDog","任一","20","美露帕","Melpaca","Alpaca","任一","127","八雲犬","Yakumo","GuardianDog","否"
"144","旺財","Mimog","MimicDog","任一","32","紫霞鹿","Eikthyrdeer","Deer","任一","127","八雲犬","Yakumo","GuardianDog","否"
"9","武道蛙","Croajiro","KendoFrog","任一","93","邪麒麟","Pyrin Noct","FireKirin_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"9","武道蛙","Croajiro","KendoFrog","任一","18","閃丸王","Penking Lux","CaptainPenguin_Black","任一","127","八雲犬","Yakumo","GuardianDog","否"
"9","武道蛙","Croajiro","KendoFrog","任一","9","極道蛙","Croajiro Noct","KendoFrog_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"77","波娜兔","Flopie","FlowerRabbit","任一","68","女皇蜂","Elizabee","QueenBee","任一","127","八雲犬","Yakumo","GuardianDog","否"
"77","波娜兔","Flopie","FlowerRabbit","任一","79","熾巫貓","Katress Ignis","CatMage_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"91","炎魔羊","Incineram","Baphomet","任一","29","火絨狐","Foxparks","Kitsunebi","任一","127","八雲犬","Yakumo","GuardianDog","否"
"91","炎魔羊","Incineram","Baphomet","任一","16","瞅什魔","Depresso","NegativeKoala","任一","127","八雲犬","Yakumo","GuardianDog","否"
"91","炎魔羊","Incineram","Baphomet","任一","5","衝浪鴨","Fuack","BluePlatypus","任一","127","八雲犬","Yakumo","GuardianDog","否"
"84","花冠龍","Dinossom","FlowerDinosaur","任一","57","黑鴉隱士","Cawgnito","DarkCrow","任一","127","八雲犬","Yakumo","GuardianDog","否"
"84","花冠龍","Dinossom","FlowerDinosaur","任一","62","電汪汪","Puffolt","ElecPomeranian","任一","127","八雲犬","Yakumo","GuardianDog","否"
"84","花冠龍","Dinossom","FlowerDinosaur","任一","67","騎士蜂","Beegarde","SoldierBee","任一","127","八雲犬","Yakumo","GuardianDog","否"
"89","花麗娜","Petallia","FlowerDoll","任一","27","冰絲特","Mau Cryst","Bastet_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"89","花麗娜","Petallia","FlowerDoll","任一","53","炸蛋鳥","Tocotoco","ColorfulBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"89","花麗娜","Petallia","FlowerDoll","任一","7","魯米兒","Celaray","FlyingManta","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10008","附魔劍","Enchanted Sword","YakushimaMonster002","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10008","附魔劍","Enchanted Sword","YakushimaMonster002","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10008","附魔劍","Enchanted Sword","YakushimaMonster002","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"125","春彩娘","Lullu","LeafPrincess","任一","43","火靈兒","Kelpsea Ignis","Kelpie_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"125","春彩娘","Lullu","LeafPrincess","任一","44","艾小兔","Ribbuny Botan","PinkRabbit_Grass","任一","127","八雲犬","Yakumo","GuardianDog","否"
"125","春彩娘","Lullu","LeafPrincess","任一","59","雪綿啾","Muffly","FluffyBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10009","洞穴蝙蝠","Cave Bat","YakushimaMonster003","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10009","洞穴蝙蝠","Cave Bat","YakushimaMonster003","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10009","洞穴蝙蝠","Cave Bat","YakushimaMonster003","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"32","祇岳鹿","Eikthyrdeer Terra","Deer_Ground","任一","74","石掌猿","Gorirat Terra","Gorilla_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"32","祇岳鹿","Eikthyrdeer Terra","Deer_Ground","任一","93","邪麒麟","Pyrin Noct","FireKirin_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"32","祇岳鹿","Eikthyrdeer Terra","Deer_Ground","任一","84","雷冠龍","Dinossom Lux","FlowerDinosaur_Electric","任一","127","八雲犬","Yakumo","GuardianDog","否"
"23","秋葉猿","Tanzee Ignis","Monkey_Fire","任一","63","水靈龍","Elphidran Aqua","FairyDragon_Water","任一","127","八雲犬","Yakumo","GuardianDog","否"
"23","秋葉猿","Tanzee Ignis","Monkey_Fire","任一","109","梆梆鯰","Dumud Gild","LazyCatfish_Gold","任一","127","八雲犬","Yakumo","GuardianDog","否"
"23","秋葉猿","Tanzee Ignis","Monkey_Fire","任一","48","夢沫姬","Gloopie Primo","OctopusGirl_Neutral","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10007","紅史萊姆","Red Slime","YakushimaMonster001_Red","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10007","紅史萊姆","Red Slime","YakushimaMonster001_Red","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10007","紅史萊姆","Red Slime","YakushimaMonster001_Red","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"72","香草豹冰","Polapup","IceSeal","任一","43","水靈兒","Kelpsea","Kelpie","任一","127","八雲犬","Yakumo","GuardianDog","否"
"72","香草豹冰","Polapup","IceSeal","任一","40","波霸牛","Mozzarina","CowPal","任一","127","八雲犬","Yakumo","GuardianDog","否"
"72","香草豹冰","Polapup","IceSeal","任一","31","遁地鼠","Fuddler","CuteMole","任一","127","八雲犬","Yakumo","GuardianDog","否"
"44","姬小兔","Ribbuny","PinkRabbit","任一","149","冬丸","Smokie Cryst","BlackPuppy_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"44","姬小兔","Ribbuny","PinkRabbit","任一","128","煉刃魚","Skutlass Ignis","SwordCutlassfish_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"44","姬小兔","Ribbuny","PinkRabbit","任一","98","凜光犬","Rayhound Cryst","ThunderDog_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"71","桃蛛娘","Tarantriss","PurpleSpider","任一","53","炸蛋鳥","Tocotoco","ColorfulBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"71","桃蛛娘","Tarantriss","PurpleSpider","任一","20","美露帕","Melpaca","Alpaca","任一","127","八雲犬","Yakumo","GuardianDog","否"
"71","桃蛛娘","Tarantriss","PurpleSpider","任一","7","魯米兒","Celaray","FlyingManta","任一","127","八雲犬","Yakumo","GuardianDog","否"
"85","浪刃武士","Bushi","Ronin","任一","8","米露菲","Cremis","WoolFox","任一","127","八雲犬","Yakumo","GuardianDog","否"
"85","浪刃武士","Bushi","Ronin","任一","22","寐魔","Daedream","DreamDemon","任一","127","八雲犬","Yakumo","GuardianDog","否"
"85","浪刃武士","Bushi","Ronin","任一","23","新葉猿","Tanzee","Monkey","任一","127","八雲犬","Yakumo","GuardianDog","否"
"45","海月仙","Jelliette","JellyfishFairy","任一","79","熾巫貓","Katress Ignis","CatMage_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"46","海月靈","Jellroy","JellyfishGhost","任一","74","石掌猿","Gorirat Terra","Gorilla_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"46","海月靈","Jellroy","JellyfishGhost","任一","93","邪麒麟","Pyrin Noct","FireKirin_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"46","海月靈","Jellroy","JellyfishGhost","任一","9","極道蛙","Croajiro Noct","KendoFrog_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"51","疾風隼","Nitewing","HawkBird","任一","92","天陰童子","Dazzi Noct","RaijinDaughter_Water","任一","127","八雲犬","Yakumo","GuardianDog","否"
"51","疾風隼","Nitewing","HawkBird","任一","84","雷冠龍","Dinossom Lux","FlowerDinosaur_Electric","任一","127","八雲犬","Yakumo","GuardianDog","否"
"103","疾旋鼬","Chillet","WeaselDragon","任一","86","肚肚鱷","Munchill","IceCrocodile","任一","127","八雲犬","Yakumo","GuardianDog","否"
"103","疾旋鼬","Chillet","WeaselDragon","任一","70","笑魘猫","Grintale","NaughtyCat","任一","127","八雲犬","Yakumo","GuardianDog","否"
"103","疾旋鼬","Chillet","WeaselDragon","任一","74","鐵拳猿","Gorirat","Gorilla","任一","127","八雲犬","Yakumo","GuardianDog","否"
"82","秘斯媞雅","Lunaris","Mutant","任一","44","艾小兔","Ribbuny Botan","PinkRabbit_Grass","任一","127","八雲犬","Yakumo","GuardianDog","否"
"82","秘斯媞雅","Lunaris","Mutant","任一","75","滑水蛇","Surfent","Serpent","任一","127","八雲犬","Yakumo","GuardianDog","否"
"70","笑魘猫","Grintale","NaughtyCat","任一","52","貓蝠怪","Tombat","CatBat","任一","127","八雲犬","Yakumo","GuardianDog","否"
"70","笑魘猫","Grintale","NaughtyCat","任一","67","騎士蜂","Beegarde","SoldierBee","任一","127","八雲犬","Yakumo","GuardianDog","否"
"28","草莽豬","Rushoar","Boar","任一","100","妖抱苞","Needoll Noct","CactusDoll_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"28","草莽豬","Rushoar","Boar","任一","128","煉刃魚","Skutlass Ignis","SwordCutlassfish_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"166","兜兜靈","Hoodle","HoodGhost","任一","60","荊棘魔仙","Bristla","LittleBriarRose","任一","127","八雲犬","Yakumo","GuardianDog","否"
"166","兜兜靈","Hoodle","HoodGhost","任一","25","融焰娘","Flambelle","LavaGirl","任一","127","八雲犬","Yakumo","GuardianDog","否"
"166","兜兜靈","Hoodle","HoodGhost","任一","33","獵狼","Direhowl","Garm","任一","127","八雲犬","Yakumo","GuardianDog","否"
"81","密林陶洛斯","Elgrove","GrassMinotaur","任一","55","紅小鯊","Gobfin Ignis","SharkKid_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"81","密林陶洛斯","Elgrove","GrassMinotaur","任一","75","滑水蛇","Surfent","Serpent","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10006","彩虹史萊姆","Rainbow Slime","YakushimaMonster001_Rainbow","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10006","彩虹史萊姆","Rainbow Slime","YakushimaMonster001_Rainbow","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10006","彩虹史萊姆","Rainbow Slime","YakushimaMonster001_Rainbow","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"169","曼波王","Solmora","KingSunfish","任一","3","皮皮雞","Chikipi","ChickenPal","任一","127","八雲犬","Yakumo","GuardianDog","否"
"147","梅莉姆","Prunelia","BlueberryFairy","任一","6","玉藻狐","Vixy","CuteFox","任一","127","八雲犬","Yakumo","GuardianDog","否"
"147","梅莉姆","Prunelia","BlueberryFairy","任一","3","皮皮雞","Chikipi","ChickenPal","任一","127","八雲犬","Yakumo","GuardianDog","否"
"147","梅莉姆","Prunelia","BlueberryFairy","任一","11","壺小象","Teafant","Ganesha","任一","127","八雲犬","Yakumo","GuardianDog","否"
"64","烽歌龍","Vanwyrm","BirdDragon","任一","43","水靈兒","Kelpsea","Kelpie","任一","127","八雲犬","Yakumo","GuardianDog","否"
"64","烽歌龍","Vanwyrm","BirdDragon","任一","40","波霸牛","Mozzarina","CowPal","任一","127","八雲犬","Yakumo","GuardianDog","否"
"64","烽歌龍","Vanwyrm","BirdDragon","任一","39","棉花糖","Woolipop","SweetsSheep","任一","127","八雲犬","Yakumo","GuardianDog","否"
"126","球犰","Kikit","SmallArmadillo","任一","36","毛老爹","Sweepa","MopKing","任一","127","八雲犬","Yakumo","GuardianDog","否"
"100","球抱苞","Needoll","CactusDoll","任一","76","山岳射手","Robinquill Terra","RobinHood_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"100","球抱苞","Needoll","CactusDoll","任一","39","可可棉花糖","Woolipop Terra","SweetsSheep_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"100","球抱苞","Needoll","CactusDoll","任一","79","闇巫貓","Katress","CatMage","任一","127","八雲犬","Yakumo","GuardianDog","否"
"37","盔盔仔","Turtacle","TentacleTurtle","任一","76","山岳射手","Robinquill Terra","RobinHood_Ground","任一","127","八雲犬","Yakumo","GuardianDog","否"
"90","莉芳","Leafan","PandaGirl","任一","6","玉藻狐","Vixy","CuteFox","任一","127","八雲犬","Yakumo","GuardianDog","否"
"90","莉芳","Leafan","PandaGirl","任一","27","喵絲特","Mau","Bastet","任一","127","八雲犬","Yakumo","GuardianDog","否"
"90","莉芳","Leafan","PandaGirl","任一","1","棉悠悠","Lamball","SheepBall","任一","127","八雲犬","Yakumo","GuardianDog","否"
"47","莉歐·莉涅","Amione","ClioneTwins","任一","103","桃旋鼬","Chillet Ignis","WeaselDragon_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"47","莉歐·莉涅","Amione","ClioneTwins","任一","34","鬱木羊","Caprity Noct","BerryGoat_Dark","任一","127","八雲犬","Yakumo","GuardianDog","否"
"108","連理龍","Broncherry","SakuraSaurus","任一","3","皮皮雞","Chikipi","ChickenPal","任一","127","八雲犬","Yakumo","GuardianDog","否"
"108","連理龍","Broncherry","SakuraSaurus","任一","11","壺小象","Teafant","Ganesha","任一","127","八雲犬","Yakumo","GuardianDog","否"
"29","雪絨狐","Foxparks Cryst","Kitsunebi_Ice","任一","103","桃旋鼬","Chillet Ignis","WeaselDragon_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"133","雪墩墩","Snugloo","SmallYeti","任一","18","企丸王","Penking","CaptainPenguin","任一","127","八雲犬","Yakumo","GuardianDog","否"
"133","雪墩墩","Snugloo","SmallYeti","任一","78","焰巫狐","Wixen","FoxMage","任一","127","八雲犬","Yakumo","GuardianDog","否"
"133","雪墩墩","Snugloo","SmallYeti","任一","102","葉胖達","Mossanda","GrassPanda","任一","127","八雲犬","Yakumo","GuardianDog","否"
"145","傑諾貝達","Xenovader","DarkAlien","任一","45","海月仙","Jelliette","JellyfishFairy","任一","127","八雲犬","Yakumo","GuardianDog","否"
"145","傑諾貝達","Xenovader","DarkAlien","任一","10","達鼠泥","Herbil","LeafMomonga","任一","127","八雲犬","Yakumo","GuardianDog","否"
"145","傑諾貝達","Xenovader","DarkAlien","任一","73","熱血蜥","Leezpunk Ignis","LizardMan_Fire","任一","127","八雲犬","Yakumo","GuardianDog","否"
"69","博愛蜥","Lovander","PinkLizard","任一","57","黑鴉隱士","Cawgnito","DarkCrow","任一","127","八雲犬","Yakumo","GuardianDog","否"
"69","博愛蜥","Lovander","PinkLizard","任一","7","雷米兒","Celaray Lux","FlyingManta_Thunder","任一","127","八雲犬","Yakumo","GuardianDog","否"
"69","博愛蜥","Lovander","PinkLizard","任一","62","電汪汪","Puffolt","ElecPomeranian","任一","127","八雲犬","Yakumo","GuardianDog","否"
"19","啼卡爾","Hoocrates","WizardOwl","任一","21","冰帝美露帕","Kingpaca Cryst","KingAlpaca_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"27","喵絲特","Mau","Bastet","任一","64","霜歌龍","Vanwyrm Cryst","BirdDragon_Ice","任一","127","八雲犬","Yakumo","GuardianDog","否"
"162","喵璐璐","Valentail","LongCat","任一","49","天擒鳥","Galeclaw","Eagle","任一","127","八雲犬","Yakumo","GuardianDog","否"
"162","喵璐璐","Valentail","LongCat","任一","51","疾風隼","Nitewing","HawkBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"162","喵璐璐","Valentail","LongCat","任一","55","鯊小子","Gobfin","SharkKid","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10001","惡魔眼","Demon Eye","YakushimaBoss001_Small","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10001","惡魔眼","Demon Eye","YakushimaBoss001_Small","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10001","惡魔眼","Demon Eye","YakushimaBoss001_Small","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"39","棉花糖","Woolipop","SweetsSheep","任一","63","水靈龍","Elphidran Aqua","FairyDragon_Water","任一","127","八雲犬","Yakumo","GuardianDog","否"
"39","棉花糖","Woolipop","SweetsSheep","任一","48","夢沫姬","Gloopie Primo","OctopusGirl_Neutral","任一","127","八雲犬","Yakumo","GuardianDog","否"
"78","焰巫狐","Wixen","FoxMage","任一","57","黑鴉隱士","Cawgnito","DarkCrow","任一","127","八雲犬","Yakumo","GuardianDog","否"
"78","焰巫狐","Wixen","FoxMage","任一","7","雷米兒","Celaray Lux","FlyingManta_Thunder","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10005","紫史萊姆","Purple Slime","YakushimaMonster001_Purple","任一","173","大紅呱","Tropicaw","RedFlowerBird","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10005","紫史萊姆","Purple Slime","YakushimaMonster001_Purple","任一","169","曼波王","Solmora","KingSunfish","任一","127","八雲犬","Yakumo","GuardianDog","否"
"10005","紫史萊姆","Purple Slime","YakushimaMonster001_Purple","任一","112","獄焰王","Blazehowl","Manticore","任一","127","八雲犬","Yakumo","GuardianDog","否"
"118","菇咚","Shroomer","MushroomDragon","任一","13","宗銘丸","Pupperai","SamuraiDog","任一","127","八雲犬","Yakumo","GuardianDog","否"
